Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6496947,50 Psychology Ideas You Really Need to Know,Adrian Furnham,"Furnham, Adrian",,"=""1847248527""","=""9781847248527""",2,3.47,Quercus,Hardcover,208,2008,2008,,2014/06/02,,,read,,,,1,,,0,,,,,
13051732,The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home,Dan Ariely,"Ariely, Dan",,"=""""","=""""",4,4.03,,Kindle Edition,352,,2010,,2014/06/02,,,read,,,,1,,,0,,,,,
1648693,Software for Your Head: Core Protocols for Creating and Maintaining Shared Vision,Jim McCarthy,"McCarthy, Jim",Michele McCarthy,"=""0201604566""","=""0785342604566""",0,4.02,Addison-Wesley Professional,Paperback,435,2002,2001,,2014/06/02,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
13730648,Penguin's Hidden Talent,Alex Latimer,"Latimer, Alex",,"=""055256267X""","=""9780552562676""",5,3.79,Picture Corgi,Paperback,32,2012,2012,,2014/06/02,,,read,,,,1,,,0,,,,,
781561,Smalltalk Best Practice Patterns,Kent Beck,"Beck, Kent",,"=""013476904X""","=""9780134769042""",5,4.19,Pearson,Paperback,224,1996,1996,2014/03/29,2010/08/15,,,read,Another timeless classic and a great introduction to OO design in any language. SmallTalk is easy enough to read and understand. Fascinating to see how many original ideas from this book have surfaced many times over in Kent's later works.,,,1,,,0,,,,,
16585667,Practical Object-Oriented Design in Ruby: An Agile Primer,Sandi Metz,"Metz, Sandi",,"=""0132930870""","=""9780132930871""",5,4.54,Addison-Wesley Professional,ebook,273,2012,2012,2014/03/03,2014/03/01,,,read,"One of the best books about design I have read. I found it eye-opening especially when it comes to the ""messaging"" view of OO. The fact that all the examples were in Ruby and I don't know Ruby almost at all was a huge benefit for me - I could concentrate on the principles and not on the details.",,,1,,,0,,,,,
3183570,C# in Depth,Jon Skeet,"Skeet, Jon",,"=""1933988363""","=""9781933988368""",4,4.51,Manning Publications,Paperback,424,2008,2008,2010/03/23,2010/03/01,,,read,Simply a must for every C# developer,,Really good,1,,,0,,,,,
762542,The Four Steps to the Epiphany: Successful Strategies for Startups That Win,Steve Blank,"Blank, Steve",,"=""0976470705""","=""9780976470700""",0,3.93,K & S Ranch,Paperback,281,2005,2003,,2013/11/18,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
6828896,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,"=""0446563048""","=""9780446563048""",0,4.02,Grand Central Publishing,Hardcover,246,2010,2010,,2013/11/18,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
6707990,Agile Software Development with Scrum. Ken Schwaber and Mike Beedle,Ken Schwaber,"Schwaber, Ken",Mike Beedle,"=""0132074893""","=""9780132074896""",2,3.81,Pearson Prentice Hall,Paperback,158,2008,2001,2012/04/22,2010/03/23,,,read,"Yes, the initial book on Scrum so it's 5/5 for the thinking, the ideas, the change it started. The book itself, is not an easy read, is not very consistent and some of the thinking have now moved on, better to read software in 30 days these days methinks.",,,1,,,1,2010/03/23,,Brand new,,
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",4,4.26,IT Revolution Press,Hardcover,345,2013,2013,2013/10/09,2013/10/08,,,read,"OK. So it's not The Goal. The inspiration and the parallels are obvious (even explicit) and the story is entertaining but personally I didn't find it as ground-breaking. It can be very good for people to get a basic understanding of the many concepts (flow, WIP, TOC, systems thinking, ...) The focus of the book is firmly on the operational side of IT and any parallels with software development must be taken with care. ",,,1,,,1,,,Brand new,,
